WARNING: mipsmen.v:17: $readmemh: Standard inconsistency, following 1364-2005.
WARNING: mipsmen.v:17: $readmemh(memfile2.dat): Not enough words in the file for the requested range [0:63].
VCD info: dumpfile datapath.vcd opened for output.
Clk: 0, reset: 1, writedata: 00000000, memwrite: 0, readdata: 20020005, dataadr: 00000000
Clk: 1, reset: 0, writedata: xxxxxxxx, memwrite: 0, readdata: 8c020050, dataadr: 00000038
Clk: 0, reset: 0, writedata: xxxxxxxx, memwrite: 0, readdata: 8c020050, dataadr: 00000038
Clk: 1, reset: 0, writedata: xxxxxxxx, memwrite: 0, readdata: 8c020050, dataadr: 00000038
Clk: 0, reset: 0, writedata: xxxxxxxx, memwrite: 0, readdata: 8c020050, dataadr: 00000038
Clk: 1, reset: 0, writedata: xxxxxxxx, memwrite: 1, readdata: xxxxxxxx, dataadr: xxxxxxxx
Simulation failed
** VVP Stop(0) **
** Flushing output streams.
** Current simulation time is 555 ticks.
> ^Cfinihs
Unknown command: finihs
Try the help command to get a summary
of available commands.
> finish
** Continue **
